correction_id,destination,year,origin_name,column_changed,old_value,new_value,reason
TUN_SCANDINAVES,Tunisie,2017,Scandinaves,granularity,country,regional_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2017,Scandinaves,quality_flag,exact_country,exact_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2017,Scandinaves,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2018,Scandinaves,granularity,country,regional_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2018,Scandinaves,quality_flag,exact_country,exact_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2018,Scandinaves,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2019,Scandinaves,granularity,country,regional_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2019,Scandinaves,quality_flag,exact_country,exact_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2019,Scandinaves,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2020,Scandinaves,granularity,country,regional_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2020,Scandinaves,quality_flag,exact_country,exact_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2020,Scandinaves,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2021,Scandinaves,granularity,country,regional_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2021,Scandinaves,quality_flag,exact_country,exact_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2021,Scandinaves,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2022,Scandinaves,granularity,country,regional_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2022,Scandinaves,quality_flag,exact_country,exact_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2022,Scandinaves,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2023,Scandinaves,granularity,country,regional_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2023,Scandinaves,quality_flag,exact_country,exact_aggregate,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
TUN_SCANDINAVES,Tunisie,2023,Scandinaves,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.,Groupe régional publié par la source ; composition exacte du groupe à vérifier. Ne pas ventiler en pays et ne pas fusionner automatiquement avec d'autres agrégats scandinaves.
KEN_UNO,Kenya,2022,United Nations Organization,granularity,country,institutional_category,Catégorie institutionnelle publiée dans le Top 30 ; ne pas interpréter comme un pays. Définition statistique exacte à vérifier dans la source originale.
KEN_UNO,Kenya,2022,United Nations Organization,notes,Rang officiel dans le Top 30: 22. La table n'est pas exhaustive de tous les marchés.,Rang officiel dans le Top 30: 22. La table n'est pas exhaustive de tous les marchés. Catégorie institutionnelle publiée dans le Top 30 ; ne pas interpréter comme un pays. Définition statistique exacte à vérifier dans la source originale.,Catégorie institutionnelle publiée dans le Top 30 ; ne pas interpréter comme un pays. Définition statistique exacte à vérifier dans la source originale.
TUN_MISSING,Tunisie,2017,Luxembourgeois,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Luxembourgeois,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Luxembourgeois,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Luxembourgeois,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Grecs,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Grecs,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Grecs,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Grecs,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Portugais,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Portugais,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Portugais,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Portugais,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Irlandais,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Irlandais,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Irlandais,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Irlandais,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Maltais,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Maltais,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Maltais,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2018,Maltais,notes,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers.,Absence d'une nationalité publiée ≠ zéro; TRE non fusionnés avec touristes étrangers. Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
TUN_MISSING,Tunisie,2017,Croates,quality_flag,exact_country,missing_unverified,Valeur absente du dataset harmonisé ; cause de l'absence non vérifiée dans la source originale. Ne pas interpréter comme zéro.
